value_segment,city,industry,gender,user_count
low,Adelaide,Hospitality,female,0
low,Adelaide,Hospitality,male,0
low,Adelaide,Hospitality,non_binary,0
low,Adelaide,Hospitality,prefer_not_to_say,0
low,Adelaide,Legal,female,0
low,Adelaide,Legal,male,0
low,Adelaide,Legal,prefer_not_to_say,0
low,Adelaide,Marketing,female,0
low,Adelaide,Marketing,male,0
low,Adelaide,Marketing,non_binary,0
low,Adelaide,Media,female,0
low,Adelaide,Media,non_binary,0
low,Adelaide,Media,prefer_not_to_say,0
low,Adelaide,Nonprofit,female,0
low,Adelaide,Nonprofit,male,0
low,Adelaide,Nonprofit,non_binary,0
low,Adelaide,Nonprofit,prefer_not_to_say,0
low,Adelaide,Publishing,male,0
low,Adelaide,Publishing,non_binary,0
low,Adelaide,Publishing,prefer_not_to_say,0
low,Adelaide,Retail,female,0
low,Adelaide,Retail,male,0
low,Adelaide,Retail,non_binary,0
low,Adelaide,Retail,prefer_not_to_say,0
low,Adelaide,Student,female,0
low,Adelaide,Student,non_binary,0
low,Adelaide,Student,prefer_not_to_say,0
low,Adelaide,Technology,female,0
low,Adelaide,Technology,male,0
low,Adelaide,Technology,non_binary,0
low,Adelaide,Technology,prefer_not_to_say,0
low,Auckland,Advertising,female,0
low,Auckland,Advertising,male,0
low,Auckland,Advertising,prefer_not_to_say,0
low,Auckland,Consulting,female,0
low,Auckland,Consulting,male,0
low,Auckland,Consulting,non_binary,0
low,Auckland,Consulting,prefer_not_to_say,0
low,Auckland,Education,female,0
low,Auckland,Education,male,0
low,Auckland,Education,non_binary,0
low,Auckland,Education,prefer_not_to_say,0
low,Auckland,Fashion,female,0
low,Auckland,Fashion,male,0
low,Auckland,Fashion,non_binary,0
low,Auckland,Fashion,prefer_not_to_say,0
low,Auckland,Finance,non_binary,0
low,Auckland,Finance,prefer_not_to_say,0
low,Auckland,Government,female,0
low,Auckland,Government,male,0
low,Auckland,Government,non_binary,0
low,Auckland,Government,prefer_not_to_say,0
low,Auckland,Healthcare,female,0
low,Auckland,Healthcare,male,0
low,Auckland,Healthcare,non_binary,0
low,Auckland,Healthcare,prefer_not_to_say,0
low,Auckland,Hospitality,female,0
low,Auckland,Hospitality,male,0
low,Auckland,Hospitality,prefer_not_to_say,0
low,Auckland,Legal,female,0
low,Auckland,Legal,male,0
low,Auckland,Legal,non_binary,0
low,Auckland,Legal,prefer_not_to_say,0
low,Auckland,Marketing,male,0
low,Auckland,Marketing,non_binary,0
low,Auckland,Marketing,prefer_not_to_say,0
low,Auckland,Media,female,0
low,Auckland,Media,male,0
low,Auckland,Media,non_binary,0
low,Auckland,Media,prefer_not_to_say,0
low,Auckland,Nonprofit,female,0
low,Auckland,Nonprofit,male,0
low,Auckland,Nonprofit,non_binary,0
low,Auckland,Nonprofit,prefer_not_to_say,0
low,Auckland,Publishing,female,0
low,Auckland,Publishing,male,0
low,Auckland,Publishing,non_binary,0
low,Auckland,Publishing,prefer_not_to_say,0
low,Auckland,Retail,female,0
low,Auckland,Retail,male,0
low,Auckland,Retail,non_binary,0
low,Auckland,Retail,prefer_not_to_say,0
low,Auckland,Student,female,0
low,Auckland,Student,male,0
low,Auckland,Student,non_binary,0
low,Auckland,Student,prefer_not_to_say,0
low,Auckland,Technology,female,0
low,Auckland,Technology,male,0
low,Auckland,Technology,non_binary,0
low,Brisbane,Advertising,female,0
low,Brisbane,Advertising,male,0
low,Brisbane,Advertising,non_binary,0
low,Brisbane,Advertising,prefer_not_to_say,0
low,Brisbane,Consulting,female,0
low,Brisbane,Consulting,male,0
low,Brisbane,Consulting,non_binary,0
low,Brisbane,Consulting,prefer_not_to_say,0
low,Brisbane,Education,female,0
low,Brisbane,Education,male,0
low,Brisbane,Education,non_binary,0
low,Brisbane,Education,prefer_not_to_say,0
low,Brisbane,Fashion,female,0
low,Brisbane,Fashion,male,0
low,Brisbane,Fashion,non_binary,0
low,Brisbane,Fashion,prefer_not_to_say,0
low,Brisbane,Finance,female,0
low,Brisbane,Finance,male,0
low,Brisbane,Finance,non_binary,0
low,Brisbane,Finance,prefer_not_to_say,0
low,Brisbane,Government,female,0
low,Brisbane,Government,non_binary,0
low,Brisbane,Government,prefer_not_to_say,0
low,Brisbane,Healthcare,male,0
low,Brisbane,Healthcare,non_binary,0
low,Brisbane,Healthcare,prefer_not_to_say,0
low,Brisbane,Hospitality,female,0
low,Brisbane,Hospitality,male,0
low,Brisbane,Hospitality,non_binary,0
low,Brisbane,Hospitality,prefer_not_to_say,0
low,Brisbane,Legal,female,0
low,Brisbane,Legal,male,0
low,Brisbane,Legal,non_binary,0
low,Brisbane,Legal,prefer_not_to_say,0
low,Brisbane,Marketing,female,0
low,Brisbane,Marketing,male,0
low,Brisbane,Marketing,non_binary,0
low,Brisbane,Marketing,prefer_not_to_say,0
low,Brisbane,Media,female,0
low,Brisbane,Media,male,0
low,Brisbane,Media,non_binary,0
low,Brisbane,Media,prefer_not_to_say,0
low,Brisbane,Nonprofit,female,0
low,Brisbane,Nonprofit,male,0
low,Brisbane,Nonprofit,non_binary,0
low,Brisbane,Nonprofit,prefer_not_to_say,0
low,Brisbane,Publishing,female,0
low,Brisbane,Publishing,non_binary,0
low,Brisbane,Publishing,prefer_not_to_say,0
low,Brisbane,Retail,female,0
low,Brisbane,Retail,male,0
low,Brisbane,Retail,non_binary,0
low,Brisbane,Retail,prefer_not_to_say,0
low,Brisbane,Student,female,0
low,Brisbane,Student,male,0
low,Brisbane,Student,non_binary,0
low,Brisbane,Student,prefer_not_to_say,0
low,Brisbane,Technology,male,0
low,Brisbane,Technology,non_binary,0
low,Brisbane,Technology,prefer_not_to_say,0
low,Bristol,Advertising,female,0
low,Bristol,Advertising,male,0
low,Bristol,Advertising,non_binary,0
low,Bristol,Advertising,prefer_not_to_say,0
low,Bristol,Consulting,female,0
low,Bristol,Consulting,male,0
low,Bristol,Consulting,non_binary,0
low,Bristol,Consulting,prefer_not_to_say,0
low,Bristol,Education,male,0
low,Bristol,Education,non_binary,0
low,Bristol,Education,prefer_not_to_say,0
low,Bristol,Fashion,female,0
low,Bristol,Fashion,male,0
low,Bristol,Fashion,non_binary,0
low,Bristol,Fashion,prefer_not_to_say,0
low,Bristol,Finance,female,0
low,Bristol,Finance,male,0
low,Bristol,Finance,non_binary,0
low,Bristol,Finance,prefer_not_to_say,0
low,Bristol,Government,female,0
low,Bristol,Government,male,0
low,Bristol,Government,non_binary,0
low,Bristol,Government,prefer_not_to_say,0
low,Bristol,Healthcare,female,0
low,Bristol,Healthcare,male,0
low,Bristol,Healthcare,non_binary,0
low,Bristol,Healthcare,prefer_not_to_say,0
low,Bristol,Hospitality,female,0
low,Bristol,Hospitality,male,0
low,Bristol,Hospitality,non_binary,0
low,Bristol,Hospitality,prefer_not_to_say,0
low,Bristol,Legal,female,0
low,Bristol,Legal,male,0
low,Bristol,Legal,non_binary,0
low,Bristol,Legal,prefer_not_to_say,0
low,Bristol,Marketing,female,0
low,Bristol,Marketing,male,0
low,Bristol,Marketing,non_binary,0
low,Bristol,Marketing,prefer_not_to_say,0
low,Bristol,Media,female,0
low,Bristol,Media,male,0
low,Bristol,Media,non_binary,0
low,Bristol,Media,prefer_not_to_say,0
low,Bristol,Nonprofit,female,0
low,Bristol,Nonprofit,male,0
low,Bristol,Nonprofit,non_binary,0
low,Bristol,Nonprofit,prefer_not_to_say,0
low,Bristol,Publishing,female,0
low,Bristol,Publishing,male,0
low,Bristol,Publishing,non_binary,0
low,Bristol,Publishing,prefer_not_to_say,0
low,Bristol,Retail,female,0
low,Bristol,Retail,male,0
low,Bristol,Retail,non_binary,0
low,Bristol,Retail,prefer_not_to_say,0
low,Bristol,Student,female,0
low,Bristol,Student,male,0
low,Bristol,Student,non_binary,0
low,Bristol,Student,prefer_not_to_say,0
low,Bristol,Technology,female,0
low,Bristol,Technology,non_binary,0
low,Bristol,Technology,prefer_not_to_say,0
low,Canberra,Advertising,female,0
low,Canberra,Advertising,male,0
low,Canberra,Advertising,non_binary,0
low,Canberra,Advertising,prefer_not_to_say,0
low,Canberra,Consulting,female,0
low,Canberra,Consulting,male,0
low,Canberra,Consulting,non_binary,0
low,Canberra,Consulting,prefer_not_to_say,0
low,Canberra,Education,female,0
low,Canberra,Education,male,0
low,Canberra,Education,non_binary,0
low,Canberra,Education,prefer_not_to_say,0
low,Canberra,Fashion,female,0
low,Canberra,Fashion,male,0
low,Canberra,Fashion,non_binary,0
low,Canberra,Fashion,prefer_not_to_say,0
low,Canberra,Finance,female,0
low,Canberra,Finance,male,0
low,Canberra,Finance,non_binary,0
low,Canberra,Finance,prefer_not_to_say,0
low,Canberra,Government,female,0
low,Canberra,Government,male,0
low,Canberra,Government,non_binary,0
low,Canberra,Government,prefer_not_to_say,0
low,Canberra,Healthcare,female,0
low,Canberra,Healthcare,male,0
low,Canberra,Healthcare,non_binary,0
low,Canberra,Healthcare,prefer_not_to_say,0
low,Canberra,Hospitality,female,0
low,Canberra,Hospitality,male,0
low,Canberra,Hospitality,non_binary,0
low,Canberra,Hospitality,prefer_not_to_say,0
low,Canberra,Legal,female,0
low,Canberra,Legal,male,0
low,Canberra,Legal,non_binary,0
low,Canberra,Legal,prefer_not_to_say,0
low,Canberra,Marketing,female,0
low,Canberra,Marketing,male,0
low,Canberra,Marketing,non_binary,0
low,Canberra,Marketing,prefer_not_to_say,0
low,Canberra,Media,male,0
low,Canberra,Media,non_binary,0
low,Canberra,Media,prefer_not_to_say,0
low,Canberra,Nonprofit,female,0
low,Canberra,Nonprofit,male,0
low,Canberra,Nonprofit,non_binary,0
low,Canberra,Nonprofit,prefer_not_to_say,0
low,Canberra,Publishing,female,0
low,Canberra,Publishing,male,0
low,Canberra,Publishing,non_binary,0
low,Canberra,Publishing,prefer_not_to_say,0
low,Canberra,Retail,female,0
low,Canberra,Retail,male,0
low,Canberra,Retail,non_binary,0
low,Canberra,Retail,prefer_not_to_say,0
low,Canberra,Student,female,0
low,Canberra,Student,male,0
low,Canberra,Student,non_binary,0
low,Canberra,Student,prefer_not_to_say,0
low,Canberra,Technology,female,0
low,Canberra,Technology,male,0
low,Canberra,Technology,non_binary,0
low,Canberra,Technology,prefer_not_to_say,0
low,Christchurch,Advertising,female,0
low,Christchurch,Advertising,male,0
low,Christchurch,Advertising,non_binary,0
low,Christchurch,Advertising,prefer_not_to_say,0
low,Christchurch,Consulting,female,0
low,Christchurch,Consulting,male,0
low,Christchurch,Consulting,non_binary,0
low,Christchurch,Consulting,prefer_not_to_say,0
low,Christchurch,Education,female,0
low,Christchurch,Education,male,0
low,Christchurch,Education,non_binary,0
low,Christchurch,Education,prefer_not_to_say,0
low,Christchurch,Fashion,female,0
low,Christchurch,Fashion,male,0
low,Christchurch,Fashion,non_binary,0
low,Christchurch,Fashion,prefer_not_to_say,0
low,Christchurch,Finance,female,0
low,Christchurch,Finance,male,0
low,Christchurch,Finance,non_binary,0
low,Christchurch,Finance,prefer_not_to_say,0
low,Christchurch,Government,female,0
low,Christchurch,Government,male,0
low,Christchurch,Government,non_binary,0
low,Christchurch,Government,prefer_not_to_say,0
low,Christchurch,Healthcare,female,0
low,Christchurch,Healthcare,male,0
low,Christchurch,Healthcare,prefer_not_to_say,0
low,Christchurch,Hospitality,female,0
low,Christchurch,Hospitality,non_binary,0
low,Christchurch,Hospitality,prefer_not_to_say,0
low,Christchurch,Legal,female,0
low,Christchurch,Legal,male,0
low,Christchurch,Legal,non_binary,0
low,Christchurch,Legal,prefer_not_to_say,0
low,Christchurch,Marketing,male,0
low,Christchurch,Marketing,non_binary,0
low,Christchurch,Marketing,prefer_not_to_say,0
low,Christchurch,Media,male,0
low,Christchurch,Media,non_binary,0
low,Christchurch,Media,prefer_not_to_say,0
low,Christchurch,Nonprofit,male,0
low,Christchurch,Nonprofit,non_binary,0
low,Christchurch,Nonprofit,prefer_not_to_say,0
low,Christchurch,Publishing,female,0
low,Christchurch,Publishing,male,0
low,Christchurch,Publishing,non_binary,0
low,Christchurch,Publishing,prefer_not_to_say,0
low,Christchurch,Retail,female,0
low,Christchurch,Retail,male,0
low,Christchurch,Retail,non_binary,0
low,Christchurch,Retail,prefer_not_to_say,0
low,Christchurch,Student,female,0
low,Christchurch,Student,male,0
low,Christchurch,Student,non_binary,0
low,Christchurch,Student,prefer_not_to_say,0
low,Christchurch,Technology,female,0
low,Christchurch,Technology,non_binary,0
low,Christchurch,Technology,prefer_not_to_say,0
low,Gold Coast,Advertising,female,0
low,Gold Coast,Advertising,male,0
low,Gold Coast,Advertising,non_binary,0
low,Gold Coast,Advertising,prefer_not_to_say,0
low,Gold Coast,Consulting,female,0
low,Gold Coast,Consulting,male,0
low,Gold Coast,Consulting,non_binary,0
low,Gold Coast,Consulting,prefer_not_to_say,0
low,Gold Coast,Education,female,0
low,Gold Coast,Education,male,0
low,Gold Coast,Education,non_binary,0
low,Gold Coast,Education,prefer_not_to_say,0
low,Gold Coast,Fashion,female,0
low,Gold Coast,Fashion,male,0
low,Gold Coast,Fashion,non_binary,0
low,Gold Coast,Fashion,prefer_not_to_say,0
low,Gold Coast,Finance,female,0
low,Gold Coast,Finance,male,0
low,Gold Coast,Finance,non_binary,0
low,Gold Coast,Finance,prefer_not_to_say,0
low,Gold Coast,Government,female,0
low,Gold Coast,Government,male,0
low,Gold Coast,Government,non_binary,0
low,Gold Coast,Government,prefer_not_to_say,0
low,Gold Coast,Healthcare,female,0
low,Gold Coast,Healthcare,male,0
low,Gold Coast,Healthcare,non_binary,0
low,Gold Coast,Healthcare,prefer_not_to_say,0
low,Gold Coast,Hospitality,female,0
low,Gold Coast,Hospitality,male,0
low,Gold Coast,Hospitality,non_binary,0
low,Gold Coast,Hospitality,prefer_not_to_say,0
low,Gold Coast,Legal,female,0
low,Gold Coast,Legal,male,0
low,Gold Coast,Legal,non_binary,0
low,Gold Coast,Legal,prefer_not_to_say,0
low,Gold Coast,Marketing,female,0
low,Gold Coast,Marketing,male,0
low,Gold Coast,Marketing,non_binary,0
low,Gold Coast,Marketing,prefer_not_to_say,0
low,Gold Coast,Media,male,0
low,Gold Coast,Media,non_binary,0
low,Gold Coast,Media,prefer_not_to_say,0
low,Gold Coast,Nonprofit,female,0
low,Gold Coast,Nonprofit,male,0
low,Gold Coast,Nonprofit,non_binary,0
low,Gold Coast,Nonprofit,prefer_not_to_say,0
low,Gold Coast,Publishing,female,0
low,Gold Coast,Publishing,male,0
low,Gold Coast,Publishing,non_binary,0
low,Gold Coast,Publishing,prefer_not_to_say,0
low,Gold Coast,Retail,female,0
low,Gold Coast,Retail,male,0
low,Gold Coast,Retail,non_binary,0
low,Gold Coast,Retail,prefer_not_to_say,0
low,Gold Coast,Student,female,0
low,Gold Coast,Student,male,0
low,Gold Coast,Student,non_binary,0
low,Gold Coast,Student,prefer_not_to_say,0
low,Gold Coast,Technology,female,0
low,Gold Coast,Technology,male,0
low,Gold Coast,Technology,non_binary,0
low,Gold Coast,Technology,prefer_not_to_say,0
low,Hobart,Advertising,female,0
low,Hobart,Advertising,male,0
low,Hobart,Advertising,non_binary,0
low,Hobart,Advertising,prefer_not_to_say,0
low,Hobart,Consulting,female,0
low,Hobart,Consulting,male,0
low,Hobart,Consulting,non_binary,0
low,Hobart,Consulting,prefer_not_to_say,0
low,Hobart,Education,female,0
low,Hobart,Education,male,0
low,Hobart,Education,non_binary,0
low,Hobart,Education,prefer_not_to_say,0
low,Hobart,Fashion,male,0
low,Hobart,Fashion,non_binary,0
low,Hobart,Fashion,prefer_not_to_say,0
low,Hobart,Finance,female,0
low,Hobart,Finance,male,0
low,Hobart,Finance,non_binary,0
low,Hobart,Finance,prefer_not_to_say,0
low,Hobart,Government,male,0
low,Hobart,Government,non_binary,0
low,Hobart,Government,prefer_not_to_say,0
low,Hobart,Healthcare,female,0
low,Hobart,Healthcare,male,0
low,Hobart,Healthcare,non_binary,0
low,Hobart,Healthcare,prefer_not_to_say,0
low,Hobart,Hospitality,female,0
low,Hobart,Hospitality,male,0
low,Hobart,Hospitality,non_binary,0
low,Hobart,Hospitality,prefer_not_to_say,0
low,Hobart,Legal,female,0
low,Hobart,Legal,male,0
low,Hobart,Legal,non_binary,0
low,Hobart,Legal,prefer_not_to_say,0
low,Hobart,Marketing,female,0
low,Hobart,Marketing,male,0
low,Hobart,Marketing,non_binary,0
low,Hobart,Marketing,prefer_not_to_say,0
low,Hobart,Media,female,0
low,Hobart,Media,male,0
low,Hobart,Media,non_binary,0
low,Hobart,Media,prefer_not_to_say,0
low,Hobart,Nonprofit,female,0
low,Hobart,Nonprofit,male,0
low,Hobart,Nonprofit,non_binary,0
low,Hobart,Nonprofit,prefer_not_to_say,0
low,Hobart,Publishing,female,0
low,Hobart,Publishing,male,0
low,Hobart,Publishing,non_binary,0
low,Hobart,Publishing,prefer_not_to_say,0
low,Hobart,Retail,female,0
low,Hobart,Retail,male,0
low,Hobart,Retail,non_binary,0
low,Hobart,Retail,prefer_not_to_say,0
low,Hobart,Student,female,0
low,Hobart,Student,male,0
low,Hobart,Student,non_binary,0
low,Hobart,Student,prefer_not_to_say,0
low,Hobart,Technology,female,0
low,Hobart,Technology,male,0
low,Hobart,Technology,non_binary,0
low,Hobart,Technology,prefer_not_to_say,0
low,London,Advertising,female,0
low,London,Advertising,male,0
low,London,Advertising,non_binary,0
low,London,Advertising,prefer_not_to_say,0
low,London,Consulting,male,0
low,London,Consulting,non_binary,0
low,London,Consulting,prefer_not_to_say,0
low,London,Education,female,0
low,London,Education,male,0
low,London,Education,non_binary,0
low,London,Education,prefer_not_to_say,0
low,London,Fashion,female,0
low,London,Fashion,male,0
low,London,Fashion,non_binary,0
low,London,Fashion,prefer_not_to_say,0
low,London,Finance,female,0
low,London,Finance,male,0
low,London,Finance,non_binary,0
low,London,Finance,prefer_not_to_say,0
low,London,Government,female,0
low,London,Government,male,0
low,London,Government,non_binary,0
low,London,Government,prefer_not_to_say,0
low,London,Healthcare,male,0
low,London,Healthcare,non_binary,0
low,London,Healthcare,prefer_not_to_say,0
low,London,Hospitality,female,0
low,London,Hospitality,male,0
low,London,Hospitality,non_binary,0
low,London,Hospitality,prefer_not_to_say,0
low,London,Legal,female,0
low,London,Legal,male,0
low,London,Legal,non_binary,0
low,London,Legal,prefer_not_to_say,0
low,London,Marketing,female,0
low,London,Marketing,male,0
low,London,Marketing,non_binary,0
low,London,Marketing,prefer_not_to_say,0
low,London,Media,female,0
low,London,Media,male,0
low,London,Media,non_binary,0
low,London,Media,prefer_not_to_say,0
low,London,Nonprofit,female,0
low,London,Nonprofit,male,0
low,London,Nonprofit,non_binary,0
low,London,Nonprofit,prefer_not_to_say,0
low,London,Publishing,female,0
low,London,Publishing,male,0
low,London,Publishing,non_binary,0
low,London,Publishing,prefer_not_to_say,0
low,London,Retail,male,0
low,London,Retail,non_binary,0
low,London,Retail,prefer_not_to_say,0
low,London,Student,female,0
low,London,Student,male,0
low,London,Student,prefer_not_to_say,0
low,London,Technology,female,0
low,London,Technology,male,0
low,London,Technology,non_binary,0
low,London,Technology,prefer_not_to_say,0
low,Manchester,Advertising,female,0
low,Manchester,Advertising,male,0
low,Manchester,Advertising,non_binary,0
low,Manchester,Advertising,prefer_not_to_say,0
low,Manchester,Consulting,female,0
low,Manchester,Consulting,male,0
low,Manchester,Consulting,non_binary,0
low,Manchester,Consulting,prefer_not_to_say,0
low,Manchester,Education,female,0
low,Manchester,Education,male,0
low,Manchester,Education,non_binary,0
low,Manchester,Fashion,female,0
low,Manchester,Fashion,male,0
low,Manchester,Fashion,non_binary,0
low,Manchester,Fashion,prefer_not_to_say,0
low,Manchester,Finance,female,0
low,Manchester,Finance,male,0
low,Manchester,Finance,prefer_not_to_say,0
low,Manchester,Government,female,0
low,Manchester,Government,male,0
low,Manchester,Government,non_binary,0
low,Manchester,Government,prefer_not_to_say,0
low,Manchester,Healthcare,female,0
low,Manchester,Healthcare,male,0
low,Manchester,Healthcare,non_binary,0
low,Manchester,Healthcare,prefer_not_to_say,0
low,Manchester,Hospitality,female,0
low,Manchester,Hospitality,male,0
low,Manchester,Hospitality,non_binary,0
low,Manchester,Hospitality,prefer_not_to_say,0
low,Manchester,Legal,male,0
low,Manchester,Legal,non_binary,0
low,Manchester,Legal,prefer_not_to_say,0
low,Manchester,Marketing,female,0
low,Manchester,Marketing,male,0
low,Manchester,Marketing,non_binary,0
low,Manchester,Marketing,prefer_not_to_say,0
low,Manchester,Media,female,0
low,Manchester,Media,male,0
low,Manchester,Media,non_binary,0
low,Manchester,Media,prefer_not_to_say,0
low,Manchester,Nonprofit,female,0
low,Manchester,Nonprofit,male,0
low,Manchester,Nonprofit,non_binary,0
low,Manchester,Nonprofit,prefer_not_to_say,0
low,Manchester,Publishing,female,0
low,Manchester,Publishing,male,0
low,Manchester,Publishing,non_binary,0
low,Manchester,Publishing,prefer_not_to_say,0
low,Manchester,Retail,female,0
low,Manchester,Retail,male,0
low,Manchester,Retail,non_binary,0
low,Manchester,Retail,prefer_not_to_say,0
low,Manchester,Student,female,0
low,Manchester,Student,male,0
low,Manchester,Student,non_binary,0
low,Manchester,Student,prefer_not_to_say,0
low,Manchester,Technology,female,0
low,Manchester,Technology,male,0
low,Manchester,Technology,non_binary,0
low,Melbourne,Advertising,female,0
low,Melbourne,Advertising,male,0
low,Melbourne,Advertising,non_binary,0
low,Melbourne,Advertising,prefer_not_to_say,0
low,Melbourne,Consulting,female,0
low,Melbourne,Consulting,male,0
low,Melbourne,Consulting,non_binary,0
low,Melbourne,Consulting,prefer_not_to_say,0
low,Melbourne,Education,female,0
low,Melbourne,Education,male,0
low,Melbourne,Education,non_binary,0
low,Melbourne,Education,prefer_not_to_say,0
low,Melbourne,Fashion,female,0
low,Melbourne,Fashion,male,0
low,Melbourne,Fashion,non_binary,0
low,Melbourne,Finance,male,0
low,Melbourne,Finance,non_binary,0
low,Melbourne,Finance,prefer_not_to_say,0
low,Melbourne,Government,female,0
low,Melbourne,Government,male,0
low,Melbourne,Government,non_binary,0
low,Melbourne,Government,prefer_not_to_say,0
low,Melbourne,Healthcare,female,0
low,Melbourne,Healthcare,male,0
low,Melbourne,Healthcare,non_binary,0
low,Melbourne,Healthcare,prefer_not_to_say,0
low,Melbourne,Hospitality,female,0
low,Melbourne,Hospitality,male,0
low,Melbourne,Hospitality,non_binary,0
low,Melbourne,Hospitality,prefer_not_to_say,0
low,Melbourne,Legal,female,0
low,Melbourne,Legal,male,0
low,Melbourne,Legal,non_binary,0
low,Melbourne,Legal,prefer_not_to_say,0
low,Melbourne,Marketing,female,0
low,Melbourne,Marketing,male,0
low,Melbourne,Marketing,non_binary,0
low,Melbourne,Marketing,prefer_not_to_say,0
low,Melbourne,Media,female,0
low,Melbourne,Media,male,0
low,Melbourne,Media,non_binary,0
low,Melbourne,Media,prefer_not_to_say,0
low,Melbourne,Nonprofit,female,0
low,Melbourne,Nonprofit,male,0
low,Melbourne,Nonprofit,non_binary,0
low,Melbourne,Nonprofit,prefer_not_to_say,0
low,Melbourne,Publishing,female,0
low,Melbourne,Publishing,male,0
low,Melbourne,Publishing,non_binary,0
low,Melbourne,Retail,female,0
low,Melbourne,Retail,non_binary,0
low,Melbourne,Retail,prefer_not_to_say,0
low,Melbourne,Student,female,0
low,Melbourne,Student,male,0
low,Melbourne,Student,non_binary,0
low,Melbourne,Student,prefer_not_to_say,0
low,Melbourne,Technology,female,0
low,Melbourne,Technology,male,0
low,Melbourne,Technology,non_binary,0
low,Melbourne,Technology,prefer_not_to_say,0
low,Newcastle,Advertising,female,0
low,Newcastle,Advertising,male,0
low,Newcastle,Advertising,non_binary,0
low,Newcastle,Advertising,prefer_not_to_say,0
low,Newcastle,Consulting,female,0
low,Newcastle,Consulting,male,0
low,Newcastle,Consulting,non_binary,0
low,Newcastle,Consulting,prefer_not_to_say,0
low,Newcastle,Education,male,0
low,Newcastle,Education,non_binary,0
low,Newcastle,Education,prefer_not_to_say,0
low,Newcastle,Fashion,female,0
low,Newcastle,Fashion,male,0
low,Newcastle,Fashion,non_binary,0
low,Newcastle,Fashion,prefer_not_to_say,0
low,Newcastle,Finance,male,0
low,Newcastle,Finance,non_binary,0
low,Newcastle,Finance,prefer_not_to_say,0
low,Newcastle,Government,female,0
low,Newcastle,Government,male,0
low,Newcastle,Government,non_binary,0
low,Newcastle,Government,prefer_not_to_say,0
low,Newcastle,Healthcare,male,0
low,Newcastle,Healthcare,non_binary,0
low,Newcastle,Healthcare,prefer_not_to_say,0
low,Newcastle,Hospitality,female,0
