community_id,community_name,event_date,record_type,records,active_users,engagement_count
demo_shameless_community,Demo Shameless Community,2026-02-17,post,2,2,14
demo_shameless_community,Demo Shameless Community,2026-02-18,comment,9,9,8
demo_shameless_community,Demo Shameless Community,2026-02-18,post,3,3,14
demo_shameless_community,Demo Shameless Community,2026-02-19,comment,7,7,6
demo_shameless_community,Demo Shameless Community,2026-02-21,comment,1,1,0
demo_shameless_community,Demo Shameless Community,2026-02-21,post,1,1,1
demo_shameless_community,Demo Shameless Community,2026-02-24,comment,2,2,1
demo_shameless_community,Demo Shameless Community,2026-02-24,post,1,1,5
demo_shameless_community,Demo Shameless Community,2026-02-25,comment,3,2,3
demo_shameless_community,Demo Shameless Community,2026-02-25,post,1,1,4
demo_shameless_community,Demo Shameless Community,2026-02-28,comment,2,2,2
demo_shameless_community,Demo Shameless Community,2026-02-28,post,2,2,3
demo_shameless_community,Demo Shameless Community,2026-03-02,post,1,1,2
demo_shameless_community,Demo Shameless Community,2026-03-03,post,3,3,14
demo_shameless_community,Demo Shameless Community,2026-03-04,comment,4,4,6
demo_shameless_community,Demo Shameless Community,2026-03-05,comment,3,3,5
demo_shameless_community,Demo Shameless Community,2026-03-05,post,2,2,12
demo_shameless_community,Demo Shameless Community,2026-03-06,comment,5,5,4
demo_shameless_community,Demo Shameless Community,2026-03-07,comment,2,2,1
demo_shameless_community,Demo Shameless Community,2026-03-07,post,1,1,1
demo_shameless_community,Demo Shameless Community,2026-03-09,comment,5,5,5
demo_shameless_community,Demo Shameless Community,2026-03-09,post,4,4,20
demo_shameless_community,Demo Shameless Community,2026-03-10,comment,5,5,8
demo_shameless_community,Demo Shameless Community,2026-03-10,post,1,1,3
demo_shameless_community,Demo Shameless Community,2026-03-11,comment,2,2,2
demo_shameless_community,Demo Shameless Community,2026-03-11,post,1,1,0
demo_shameless_community,Demo Shameless Community,2026-03-12,comment,1,1,2
demo_shameless_community,Demo Shameless Community,2026-03-12,post,1,1,1
demo_shameless_community,Demo Shameless Community,2026-03-13,comment,2,2,6
demo_shameless_community,Demo Shameless Community,2026-03-13,post,2,2,5
demo_shameless_community,Demo Shameless Community,2026-03-14,comment,1,1,1
demo_shameless_community,Demo Shameless Community,2026-03-14,post,1,1,4
demo_shameless_community,Demo Shameless Community,2026-03-15,comment,2,2,0
demo_shameless_community,Demo Shameless Community,2026-03-17,post,1,1,7
demo_shameless_community,Demo Shameless Community,2026-03-18,comment,6,6,6
demo_shameless_community,Demo Shameless Community,2026-03-18,post,3,3,18
demo_shameless_community,Demo Shameless Community,2026-03-19,comment,9,8,7
demo_shameless_community,Demo Shameless Community,2026-03-19,post,1,1,3
demo_shameless_community,Demo Shameless Community,2026-03-20,comment,4,4,1
demo_shameless_community,Demo Shameless Community,2026-03-24,post,1,1,2
demo_shameless_community,Demo Shameless Community,2026-03-25,comment,5,5,7
demo_shameless_community,Demo Shameless Community,2026-03-25,post,2,2,8
demo_shameless_community,Demo Shameless Community,2026-03-26,comment,5,5,4
demo_shameless_community,Demo Shameless Community,2026-03-26,post,2,2,9
demo_shameless_community,Demo Shameless Community,2026-03-27,comment,6,6,6
demo_shameless_community,Demo Shameless Community,2026-03-27,post,2,2,11
demo_shameless_community,Demo Shameless Community,2026-03-28,comment,4,4,1
demo_shameless_community,Demo Shameless Community,2026-03-28,post,1,1,1
demo_shameless_community,Demo Shameless Community,2026-03-29,post,1,1,5
demo_shameless_community,Demo Shameless Community,2026-03-30,comment,3,1,4
demo_shameless_community,Demo Shameless Community,2026-03-30,post,1,1,2
demo_shameless_community,Demo Shameless Community,2026-03-31,comment,2,1,2
demo_shameless_community,Demo Shameless Community,2026-03-31,post,3,3,15
demo_shameless_community,Demo Shameless Community,2026-04-01,comment,7,7,11
demo_shameless_community,Demo Shameless Community,2026-04-01,post,3,3,10
demo_shameless_community,Demo Shameless Community,2026-04-02,comment,5,4,6
demo_shameless_community,Demo Shameless Community,2026-04-02,post,1,1,4
demo_shameless_community,Demo Shameless Community,2026-04-03,comment,2,2,4
demo_shameless_community,Demo Shameless Community,2026-04-03,post,1,1,4
demo_shameless_community,Demo Shameless Community,2026-04-04,comment,7,7,8
demo_shameless_community,Demo Shameless Community,2026-04-04,post,4,4,9
demo_shameless_community,Demo Shameless Community,2026-04-05,comment,4,4,5
demo_shameless_community,Demo Shameless Community,2026-04-05,post,1,1,5
demo_shameless_community,Demo Shameless Community,2026-04-06,comment,2,2,3
demo_shameless_community,Demo Shameless Community,2026-04-06,post,2,2,1
